Dataset,"BIS Selected property prices"
Retrieved on,Thu Feb 16 15:37:05 GMT 2017
Subject,"BIS property prices: selected series"
"Frequency","Quarterly"
"Unit Multiplier","Units"
"Frequency","Reference area","Value","Unit of measure","Time Period","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4"
"Q:Quarterly","DK:Denmark","N:Nominal","628:Index, 2010 = 100","Q:DK:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9","66.9","68.4","69.6","69.8","72.1","75.4","77.7","79.7","83.3","87.6","94.4","100.6","107.7","114.3","116.6","115.4","115.8","117.4","117.6","115.4","113.9","114.2","111.3","102.6","96.1","97.3","98","97.7","98.3","100.4","101.2","100.1","99.2","101.4","98.1","94.6","94.6","96","96.3","95.8","97.1","100.6","100.6","99.2","100.6","104.4","103.9","103.5","107.8","111.4","111.2","110.8","113.5","116.4","117",""
"Q:Quarterly","DK:Denmark","N:Nominal","771:Year-on-year changes, in per cent","Q:DK:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","7.77","10.23","11.64","14.18","15.53","16.18","21.49","26.22","29.29","30.48","23.52","14.71","7.52","2.71","0.86","0","-1.64","-2.73","-5.36","-11.09","-15.63","-14.8","-11.95","-4.78","2.29","3.19","3.27","2.46","0.92","1","-3.06","-5.49","-4.64","-5.33","-1.83","1.27","2.64","4.79","4.47","3.55","3.6","3.78","3.28","4.33","7.16","6.7","7.03","7.05","5.29","4.49","5.22",""
"Q:Quarterly","DK:Denmark","R:Real","628:Index, 2010 = 100","Q:DK:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.41","76.78","78.02","79.75","79.78","81.97","85.07","87.98","89.85","93.57","97.19","104.52","111.08","118.5","124.3","126.7","125.3","125.06","125.67","126.37","122.64","119.37","118.09","114.79","105.94","98.97","99.4","100.08","99.63","99.16","100.37","100.96","99.5","97.43","98.39","95.28","91.66","90.47","91.16","91.29","90.78","91.8","94.72","94.88","93.4","94.53","97.71","97.44","97","101.03","103.64","103.66","103.49","106.05","108.15","108.88",""
"Q:Quarterly","DK:Denmark","R:Real","771:Year-on-year changes, in per cent","Q:DK:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","6.77","9.03","10.33","12.62","14.14","14.25","18.8","23.64","26.65","27.9","21.22","12.8","5.53","1.1","-0.26","-2.13","-4.55","-6.03","-9.16","-13.62","-17.09","-15.82","-12.82","-5.95","0.19","0.98","0.87","-0.13","-1.74","-1.98","-5.62","-7.88","-7.14","-7.35","-4.19","-0.96","1.46","3.91","3.94","2.89","2.98","3.15","2.69","3.85","6.87","6.07","6.38","6.7","4.97","4.35","5.04",""
"Q:Quarterly","EE:Estonia","N:Nominal","628:Index, 2010 = 100","Q:EE:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.18","89.28","94.28","106.57","120.57","132.67","141.96","156.86","161.96","172.36","167.36","164.96","159.96","155.16","154.96","132.57","104.07","96.78","89.58","88.08","98.38","99.28","102.97","99.38","104.87","107.97","109.97","111.07","112.47","116.17","119.17","117.57","121.17","125.67","132.37","135.87","142.36","143.86","149.86","149.56","153.86","158.96","155.86","157.16","156.96","161.86","167.36",""
"Q:Quarterly","EE:Estonia","N:Nominal","771:Year-on-year changes, in per cent","Q:EE:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.27","48.6","50.58","47.19","34.33","29.92","17.89","5.16","-1.23","-9.98","-7.41","-19.64","-34.94","-37.63","-42.19","-33.56","-5.48","2.58","14.96","12.83","6.61","8.76","6.8","11.77","7.25","7.59","8.36","5.85","7.73","8.18","11.07","15.56","17.49","14.48","13.22","10.08","8.08","10.49","4","5.08","2.01","1.82","7.38",""
"Q:Quarterly","EE:Estonia","R:Real","628:Index, 2010 = 100","Q:EE:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.97","113.36","118.08","132.9","148.75","161.31","170.29","187.21","189.96","198.3","188.64","180.55","168.93","160.28","157.55","134.02","106.55","100.27","92.06","90.85","100.45","99.71","102.49","97.39","101.62","103.08","104","104.58","104.42","106.72","108.64","106.71","108.66","111.67","117.4","121.53","126.89","127.86","133.67","134.39","138.39","141.35","139.67","142","141.77","144.92","149.33",""
"Q:Quarterly","EE:Estonia","R:Real","771:Year-on-year changes, in per cent","Q:EE:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.87","42.3","44.22","40.87","27.71","22.93","10.77","-3.56","-11.07","-19.18","-16.48","-25.77","-36.92","-37.44","-41.57","-32.21","-5.73","-0.56","11.33","7.21","1.16","3.38","1.47","7.37","2.76","3.53","4.47","2.04","4.06","4.63","8.06","13.89","16.78","14.5","13.87","10.59","9.06","10.55","4.49","5.66","2.44","2.53","6.92",""
"Q:Quarterly","ES:Spain","N:Nominal","628:Index, 2010 = 100","Q:ES:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.94","95.36","99.44","102.69","105.34","107.87","110.95","112.15","111.35","110.94","110.65","108.89","105.53","102.71","102.25","101.32","100.91","99.65","101.27","99.59","99.49","96.1","94.95","91.56","86.81","82.48","79.8","76.82","75.74","71.9","71.33","71.89","70.97","70.75","71.93","72.09","72.22","71.85","74.82","75.32","75.29","76.36","77.7","78.35",""
"Q:Quarterly","ES:Spain","N:Nominal","771:Year-on-year changes, in per cent","Q:ES:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.57","13.12","11.57","9.21","5.71","2.85","-0.27","-2.91","-5.23","-7.42","-7.59","-6.95","-4.38","-2.98","-0.96","-1.71","-1.41","-3.56","-6.24","-8.06","-12.75","-14.17","-15.96","-16.1","-12.75","-12.83","-10.61","-6.42","-6.3","-1.6","0.84","0.28","1.76","1.55","4.02","4.48","4.25","6.28","3.85","4.02",""
"Q:Quarterly","ES:Spain","R:Real","628:Index, 2010 = 100","Q:ES:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.55","105.27","107.41","111.25","113.41","116.26","117.05","118.69","115.31","114.55","111.59","109.85","106.67","105.56","103.82","103.32","101.85","101.31","101.22","99.61","97.92","94.41","91.7","88.85","83.15","79.47","75.58","72.55","70.37","67.51","66.42","67.08","65.86","66.42","66.83","67.49","67.36","68.15","69.69","70.8","70.45","72.91","73.06","73.79",""
"Q:Quarterly","ES:Spain","R:Real","771:Year-on-year changes, in per cent","Q:ES:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.68","10.44","8.97","6.69","1.68","-1.47","-4.66","-7.45","-7.5","-7.85","-6.96","-5.95","-4.51","-4.03","-2.51","-3.59","-3.86","-6.81","-9.41","-10.8","-15.08","-15.82","-17.58","-18.35","-15.37","-15.05","-12.13","-7.53","-6.42","-1.61","0.62","0.61","2.28","2.6","4.28","4.91","4.59","6.98","4.84","4.21",""
"Q:Quarterly","FI:Finland","N:Nominal","628:Index, 2010 = 100","Q:FI:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.31","81.59","83.22","84.85","85.42","87.05","88.11","89.49","90.8","92.26","93.16","93.16","93.81","94.79","93.48","89.49","88.68","91.37","93.89","96.58","98.78","99.68","100.77","100.77","102.07","103.87","103.67","103.07","104.77","105.87","105.77","106.07","106.77","107.27","107.07","106.47","106.57","106.97","106.57","105.87","106.17","106.87","106.47","106.37","106.57","107.57","107.67",""
"Q:Quarterly","FI:Finland","N:Nominal","771:Year-on-year changes, in per cent","Q:FI:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","6.69","5.87","5.47","6.29","5.99","5.73","4.09","3.32","2.74","0.35","-3.93","-5.47","-3.61","0.44","7.92","11.39","9.1","7.33","4.35","3.34","4.21","2.88","2.28","2.64","1.92","2.03","2.91","1.91","1.32","1.23","0.38","-0.19","-0.28","-0.47","-0.56","-0.38","-0.09","-0.09","0.47","0.38","0.65","1.13",""
"Q:Quarterly","FI:Finland","R:Real","628:Index, 2010 = 100","Q:FI:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.27","89.45","91.23","92.8","93.18","93.96","94.91","95.9","96.76","97.19","97.91","97.17","96.29","95.95","93.96","89.93","89.57","92.29","95.1","98.06","99.58","99.72","100.97","99.73","99.7","100.56","100.04","98.78","99.28","99.51","99.3","99.28","99.5","99.33","99.19","98.29","98.02","98.15","97.65","96.95","97.77","98.18","97.89","97.65","98.17","98.51","98.56",""
"Q:Quarterly","FI:Finland","R:Real","771:Year-on-year changes, in per cent","Q:FI:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.77","5.04","4.03","3.35","3.84","3.44","3.16","1.32","-0.49","-1.28","-4.03","-7.45","-6.98","-3.82","1.21","9.05","11.18","8.06","6.17","1.7","0.11","0.84","-0.92","-0.95","-0.42","-1.04","-0.74","0.51","0.22","-0.18","-0.11","-1","-1.49","-1.19","-1.55","-1.37","-0.26","0.03","0.24","0.72","0.41","0.34","0.69",""
"Q:Quarterly","FR:France","N:Nominal","628:Index, 2010 = 100","Q:FR:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.36","40.84","41.71","41.42","39.79","41.04","41.42","41.32","40.56","41.52","42.57","42.38","42.86","43.92","45.74","45.84","46.61","48.05","49.88","49.59","50.26","51.99","53.63","53.63","54.11","56.03","58.53","59.1","60.16","62.56","65.35","66.6","68.81","71.69","75.44","77.27","79.48","82.94","87.17","88.8","90.82","93.7","96.7","97.5","98.2","99.9","102.2","102.9","102.2","102.5","102.8","99.3","95.6","94.2","95.8","96.1","96.8","98.8","101.6","102.8","103.4","105.5","107.6","106.6","105.2","105.3","106","104.4","103.2","103","103.9","102.8","101.6","101.8","102.5","100.4","99.5","99.6","101","100.2","99.8","100.3","102.8",""
"Q:Quarterly","FR:France","N:Nominal","771:Year-on-year changes, in per cent","Q:FR:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.43","0.47","-0.69","-0.23","1.93","1.17","2.78","2.56","5.69","5.79","7.45","8.16","8.74","9.41","9.03","8.18","7.84","8.2","7.51","8.14","7.65","7.76","9.14","10.22","11.19","11.66","11.66","12.68","14.38","14.59","15.44","16.02","15.5","15.68","15.54","14.93","14.27","12.98","10.94","9.8","8.13","6.62","5.69","5.54","4.07","2.6","0.59","-3.5","-6.46","-8.1","-6.81","-3.22","1.26","4.88","6.05","6.97","6.82","6.78","5.91","3.7","1.74","-0.19","-1.49","-2.06","-1.9","-2.18","-1.98","-1.53","-1.55","-1.17","-1.35","-2.33","-2.07","-2.16","-1.46","-0.2","0.3","0.7","1.78",""
"Q:Quarterly","FR:France","R:Real","628:Index, 2010 = 100","Q:FR:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.09","50.29","51.47","50.91","48.66","50.07","50.47","50.21","49.24","50.16","51.56","51.36","51.9","52.86","55.12","55.01","55.63","57.02","58.97","58.39","59.21","60.46","62.3","62.27","62.4","64.11","66.81","67.19","67.78","70.24","73.18","74.09","76.15","78.62","82.59","84.2","86.47","89.42","93.67","95.17","97.07","99.13","102.18","103.14","103.76","104.47","106.64","106.36","104.89","103.76","103.89","100.86","97.51","95.55","97.23","97.26","97.44","98.63","101.55","102.36","102.25","103.18","105.29","103.61","101.68","100.97","101.72","99.94","98.7","97.97","98.77","97.77","96.47","96.23","97.06","95.22","94.7","93.95","95.56","94.95","95.02","94.61","96.99",""
"Q:Quarterly","FR:France","R:Real","771:Year-on-year changes, in per cent","Q:FR:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.84","-0.45","-1.95","-1.38","1.17","0.18","2.16","2.29","5.42","5.38","6.89","7.1","7.18","7.87","7","6.15","6.44","6.03","5.64","6.64","5.38","6.04","7.24","7.9","8.62","9.57","9.54","10.27","12.35","11.92","12.86","13.64","13.55","13.75","13.41","13.03","12.27","10.86","9.09","8.38","6.89","5.38","4.36","3.12","1.09","-0.68","-2.58","-5.17","-7.04","-7.91","-6.41","-3.57","-0.07","3.22","4.44","5.24","4.93","4.62","3.69","1.22","-0.56","-2.15","-3.4","-3.54","-2.93","-2.97","-2.89","-2.17","-2.26","-1.78","-1.74","-2.61","-1.83","-2.37","-1.55","-0.29","0.34","0.71","1.5",""
"Q:Quarterly","GB:United Kingdom","N:Nominal","628:Index, 2010 = 100","Q:GB:N:628","","","","","","","","","","2.17","2.24","2.24","2.24","2.3","2.3","2.36","2.36","2.36","2.48","2.48","2.54","2.6","2.78","2.9","3.08","3.38","3.87","4.17","4.65","4.89","5.2","5.26","5.32","5.32","5.38","5.44","5.5","5.62","5.8","5.86","5.98","6.16","6.28","6.4","6.4","6.52","6.71","6.95","7.07","7.43","7.91","8.52","8.94","9.67","10.39","11.06","11.54","11.96","12.45","12.51","12.51","12.87","13.05","12.81","12.51","13.05","13.35","13.53","13.96","14.44","15.04","15.16","15.29","15.77","16.37","16.61","16.61","17.22","17.58","18.19","18.55","19.39","20.24","20.84","21.45","22.41","23.5","24.95","25.98","27.55","31.17","33.11","33.83","35.04","36.25","35.52","34.8","34.5","35.1","34.56","34.07","33.95","34.62","34.32","33.77","32.93","33.05","31.78","31.96","32.2","32.87","32.26","32.62","33.05","33.65","33.41","33.11","33.47","33.77","33.29","33.77","33.83","35.16","35.77","36.25","36.97","38.85","38.61","39.57","41.69","43.5","43.26","43.56","45.37","48.03","49.3","50.51","53.29","54.31","55.88","55.64","57.64","59.69","58.48","60.42","65.37","69.78","73.22","74.55","76.85","78.96","80.59","81.32","86.09","89.9","90.5","88.64","91.21","93.45","93.56","94.24","97.82","100.84","102.74","104.2","108.23","111.25","111.14","108.11","107.44","103.19","96.36","91.44","92.67","96.25","98.15","98.49","100.28","101.73","99.5","97.71","98.49","99.61","98.27","97.26","99.05","100.17","99.27","98.6","100.62","103.08","103.64","104.98","108.79","112.26","112.48","112.14","114.49","118.3","119.75","120.98","124.45","126.69",""
"Q:Quarterly","GB:United Kingdom","N:Nominal","771:Year-on-year changes, in per cent","Q:GB:N:771","","","","","","","","","","","","","","5.56","2.7","5.41","5.41","2.63","7.89","5.13","7.69","10.26","12.2","17.07","21.43","30.23","39.13","43.75","50.98","44.64","34.38","26.09","14.29","8.64","3.49","3.45","3.41","5.68","7.87","7.78","8.79","9.68","8.33","9.28","7.07","5.88","6.73","8.49","10.38","13.89","18.02","22.61","26.5","30.08","31.3","29.79","29.05","23.75","19.77","13.11","8.38","7.58","4.85","2.42","0","1.41","2.31","5.66","11.59","10.65","12.67","12.05","9.52","9.21","8.84","9.56","8.7","9.2","7.38","9.45","11.64","12.63","15.12","14.62","15.64","15.58","16.12","19.71","21.13","22.91","32.65","32.69","30.23","27.19","16.28","7.3","2.86","-1.55","-3.17","-2.72","-2.08","-1.58","-1.38","-0.7","-0.89","-3.02","-4.54","-7.39","-5.37","-2.2","-0.55","1.52","2.08","2.63","2.39","3.56","1.48","1.28","0.36","-0.36","2.01","1.08","4.11","7.44","7.33","9.29","10.48","7.94","9.17","12.75","11.98","12.05","10.08","8.84","10.42","13.97","15.95","17.44","13.08","13.36","10.17","8.16","9.9","4.65","8.58","13.42","16.9","25.21","23.4","17.56","13.16","10.07","9.08","12.03","13.85","12.29","9","5.95","3.95","3.38","6.31","7.24","7.9","9.81","10.57","10.64","10.32","8.17","3.76","-0.72","-7.24","-13.29","-15.42","-13.75","-6.72","1.86","7.71","8.21","5.7","1.37","-0.8","-1.79","-2.09","-1.24","-0.46","0.57","0.56","1.03","1.38","1.58","2.91","4.4","6.47","8.12","8.9","8.53","6.82","5.25","5.38","6.47","7.88","8.7","7.1",""
"Q:Quarterly","GB:United Kingdom","R:Real","628:Index, 2010 = 100","Q:GB:R:628","","","","","","","","","","22.5","23.05","22.78","22.38","22.59","22.59","22.79","22.41","21.87","22.74","22.27","22.23","22.03","23.11","23.88","25.01","26.89","30.25","31.81","35.03","35.6","37.17","36.17","35.31","33.44","33.03","31.92","30.65","28.8","28.49","27.83","27.57","27.41","27.31","26.66","25.51","24.95","25.2","25.77","25.88","26.53","27.82","29.49","30.28","31.73","32.18","33.3","33.75","33.21","33.81","33.37","32.56","31.93","31.8","30.63","29.56","29.82","30.32","30.37","31.1","31.64","32.61","32.51","32.68","33","34.1","34.25","33.9","34.26","34.88","35.79","36.37","37.46","38.94","39.76","40.65","41.95","43.93","46.12","47.87","49.77","55.87","58.67","59.45","60.19","61.83","59.64","57.74","55.49","55.66","53.81","52.85","50.39","51.01","49.93","48.95","46.87","47.14","45.02","45.25","44.74","45.57","44.64","45.12","45.03","45.88","45.43","44.66","44.5","44.83","43.95","44.35","43.94","45.62","46.11","46.74","47.24","49.44","48.88","50.2","52.31","54.61","54.01","54.41","56.12","59.55","60.87","62.62","65.49","66.82","68.31","68.39","69.81","72.27","70.78","73.15","78.44","83.66","87.32","88.9","91.07","93.41","94.8","95.74","100.6","105.01","104.98","102.64","104.58","106.6","106.24","107.04","109.63","112.31","113.58","115.05","118.33","121.73","120.33","116.59","113.58","107.77","100.52","95.72","95.96","99.02","100.25","99.83","100.35","101.51","98.32","95.15","94.41","94.94","92.77","91.53","92.47","93.25","91.28","90.29","91.48","93.4","93.34","94.45","97.19","100.26","100.39","100.8","102.33","105.62","106.78","108.38","110.86","112.33",""
"Q:Quarterly","GB:United Kingdom","R:Real","771:Year-on-year changes, in per cent","Q:GB:R:771","","","","","","","","","","","","","","0.41","-2.01","0.06","0.15","-3.19","0.68","-2.3","-0.82","0.73","1.6","7.25","12.53","22.09","30.89","33.21","40.05","32.38","22.9","13.71","0.8","-6.08","-11.14","-11.76","-13.21","-13.88","-13.74","-12.79","-10.05","-4.81","-4.15","-4.23","-7.46","-8.97","-7.75","-3.34","1.43","6.31","10.41","14.45","17.01","19.64","15.67","12.94","11.47","4.64","5.08","0.19","-3.54","-3.85","-5.94","-8.21","-9.22","-6.62","-4.66","-0.83","5.22","6.13","7.55","7.02","5.09","4.28","4.55","5.35","3.72","3.82","2.29","4.5","7.3","9.34","11.64","11.12","11.74","11.99","12.83","15.97","17.78","18.67","27.18","27.23","24.18","20.92","10.66","1.66","-2.87","-7.81","-9.98","-9.78","-8.48","-9.2","-8.36","-7.22","-7.37","-6.99","-7.58","-9.84","-7.56","-4.53","-3.32","-0.84","-0.29","0.65","0.67","1.77","-1.02","-1.18","-2.27","-3.25","-0.69","-1.27","1.75","4.91","5.37","7.52","8.38","6","7.41","10.74","10.46","10.49","8.39","7.29","9.04","12.71","15.09","16.69","12.2","12.22","9.21","6.6","8.16","3.61","6.96","12.35","15.75","23.37","21.54","16.11","11.66","8.57","7.69","10.47","12.41","10.74","7.21","3.96","1.52","1.2","4.29","4.82","5.35","6.91","7.48","7.94","8.39","5.94","1.34","-4.01","-11.47","-16.46","-17.9","-15.51","-8.12","-0.27","4.29","4.58","2.51","-1.92","-4.68","-5.93","-6.47","-5.65","-3.81","-2.06","-1.78","-1.61","-1.35","-1.07","0.16","2.26","4.61","6.25","7.34","7.56","6.72","5.28","5.35","6.36","7.52","8.34","6.35",""
"Q:Quarterly","GR:Greece","N:Nominal","628:Index, 2010 = 100","Q:GR:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.15","99.94","101.55","105.81","105.58","106.73","107.82","108.37","108.64","108.58","109.5","109.01","105.06","105.89","103.91","104.65","103.2","100.93","98.51","97.36","97.61","95.77","93.84","90.91","87.32","85.4","82.03","79.3","77.29","75.18","73.67","71.66","70.26","69.01","68.6","67.68","67.37","65.58","64.46","64.16","64.49","63.9","63.49",""
